store,number
1,5335143
2,3334830
3,9246491
4,3416119
5,4351644
6,6548888
7,6731122
8,4338248
9,9222774
10,7321151
11,7364211
12,6566262
13,8245393
14,6814051
15,9241666
16,4433533
17,4583244
18,6487878
19,2511977
20,2268422
21,4560677
22,3021510
23,9220612
24,6573073
25,9221401
26,4963737
27,6927373
28,2244884
29,4927385
30,8520818
31,8818817
32,9937161
32,9937161
33,5343323
34,6595525
35,9263502
36,4521751
38,6906361
39,4962958
40,3448833
41,5207868
42,7333774
43,5231263
44,8297688
45,2299519
46,5211001
47,5454303
48,6591202
49,7724905
50,6998849
51,2124343
52,6961206
53,2264707
54,6900054
55,6595514
56,6475641
57,6235743
58,2415880
59,6211559
60,3720760
61,3938761
62,6882362
63,6249663
64,2808364
65,2951665
66,5693266
67,6494567
68,3722668
69,5096999
70,5382470
71,4387771
72,6279381
73,5491692
74,3142640
75,4267188
76,6614855
81,6483401
82,2558746
83,3699079
84,3143019
85,2760862
