Pack and Repair,P&R
System Down,SD
POS Error (NA),POSNA
POS Error (A),POSA
EMV,EMV
Data Exchange,DE
Manager Station,MS
Manager Transfer,MT
Fax/Printer,F/P
Gift Cards,GC
Menu Boards,MB
KVS,KVS
Drive Thru Tablet Errors,DTT
DDOffice Question,DDQ
Internet Issues ,II
Wrong Department,WD
Equipment Replacement,EQUIP
Accuview,ACC 
Server,S
Time and Attendance,T&A
BM Site,BART
Receipt Printers,RP
General Questions,Q
Phones,PHONE
Warehouse Tablet Errors,WT
Battery Backups,BU
Credit Cards,CC
Issue Solved Itself,W
POS Questions,POSQ
